screen_no,start_sec,end_sec,start_hms,end_hms,file
93,791.7909999999999,792.2914999999999,00:13:11,00:13:12,screen_0093.jpg
94,792.2914999999999,794.794,00:13:12,00:13:14,screen_0094.jpg
95,794.794,795.795,00:13:14,00:13:15,screen_0095.jpg
96,795.795,811.8109999999999,00:13:15,00:13:31,screen_0096.jpg
97,811.8109999999999,812.3114999999999,00:13:31,00:13:32,screen_0097.jpg
98,812.3114999999999,812.8119999999999,00:13:32,00:13:32,screen_0098.jpg
99,812.8119999999999,834.834,00:13:32,00:13:54,screen_0099.jpg
100,834.834,835.8349999999999,00:13:54,00:13:55,screen_0100.jpg
101,835.8349999999999,837.3364999999999,00:13:55,00:13:57,screen_0101.jpg
102,837.3364999999999,839.8389999999999,00:13:57,00:13:59,screen_0102.jpg
103,839.8389999999999,840.3394999999999,00:13:59,00:14:00,screen_0103.jpg
104,840.3394999999999,843.843,00:14:00,00:14:03,screen_0104.jpg
105,843.843,871.871,00:14:03,00:14:31,screen_0105.jpg
106,871.871,872.3715,00:14:31,00:14:32,screen_0106.jpg
107,872.3715,873.3725,00:14:32,00:14:33,screen_0107.jpg
108,873.3725,903.903,00:14:33,00:15:03,screen_0108.jpg
109,903.903,904.4035,00:15:03,00:15:04,screen_0109.jpg
110,904.4035,905.4045,00:15:04,00:15:05,screen_0110.jpg
111,905.4045,905.905,00:15:05,00:15:05,screen_0111.jpg
112,905.905,906.4055,00:15:05,00:15:06,screen_0112.jpg
113,906.4055,906.906,00:15:06,00:15:06,screen_0113.jpg
114,906.906,907.4065,00:15:06,00:15:07,screen_0114.jpg
115,907.4065,908.908,00:15:07,00:15:08,screen_0115.jpg
116,908.908,910.4095,00:15:08,00:15:10,screen_0116.jpg
117,910.4095,910.91,00:15:10,00:15:10,screen_0117.jpg
118,910.91,911.4105,00:15:10,00:15:11,screen_0118.jpg
119,911.4105,911.911,00:15:11,00:15:11,screen_0119.jpg
120,911.911,914.914,00:15:11,00:15:14,screen_0120.jpg
121,914.914,915.4145,00:15:14,00:15:15,screen_0121.jpg
122,915.4145,915.915,00:15:15,00:15:15,screen_0122.jpg
123,915.915,916.916,00:15:15,00:15:16,screen_0123.jpg
124,916.916,917.917,00:15:16,00:15:17,screen_0124.jpg
125,917.917,918.918,00:15:17,00:15:18,screen_0125.jpg
126,918.918,920.4195,00:15:18,00:15:20,screen_0126.jpg
127,920.4195,924.4235,00:15:20,00:15:24,screen_0127.jpg
128,924.4235,924.924,00:15:24,00:15:24,screen_0128.jpg
129,924.924,925.4245,00:15:24,00:15:25,screen_0129.jpg
130,925.4245,925.925,00:15:25,00:15:25,screen_0130.jpg
131,925.925,927.4265,00:15:25,00:15:27,screen_0131.jpg
132,927.4265,927.927,00:15:27,00:15:27,screen_0132.jpg
133,927.927,938.4375,00:15:27,00:15:38,screen_0133.jpg
134,938.4375,938.938,00:15:38,00:15:38,screen_0134.jpg
135,938.938,940.4395,00:15:38,00:15:40,screen_0135.jpg
136,940.4395,947.4465,00:15:40,00:15:47,screen_0136.jpg
137,947.4465,948.948,00:15:47,00:15:48,screen_0137.jpg
138,948.948,949.949,00:15:48,00:15:49,screen_0138.jpg
139,949.949,957.957,00:15:49,00:15:57,screen_0139.jpg
140,957.957,959.4585,00:15:57,00:15:59,screen_0140.jpg
141,959.4585,959.959,00:15:59,00:15:59,screen_0141.jpg
142,959.959,960.4595,00:15:59,00:16:00,screen_0142.jpg
143,960.4595,960.96,00:16:00,00:16:00,screen_0143.jpg
144,960.96,961.4605,00:16:00,00:16:01,screen_0144.jpg
145,961.4605,968.968,00:16:01,00:16:08,screen_0145.jpg
146,968.968,969.969,00:16:08,00:16:09,screen_0146.jpg
147,969.969,970.97,00:16:09,00:16:10,screen_0147.jpg
148,970.97,978.4775,00:16:10,00:16:18,screen_0148.jpg
149,978.4775,1019.5185,00:16:18,00:16:59,screen_0149.jpg
150,1019.5185,1020.019,00:16:59,00:17:00,screen_0150.jpg
151,1020.019,1024.5235,00:17:00,00:17:04,screen_0151.jpg
152,1024.5235,1026.5255,00:17:04,00:17:06,screen_0152.jpg
153,1026.5255,1027.0259999999998,00:17:06,00:17:07,screen_0153.jpg
154,1027.0259999999998,1027.5265,00:17:07,00:17:07,screen_0154.jpg
155,1027.5265,1028.5275,00:17:07,00:17:08,screen_0155.jpg
156,1028.5275,1029.028,00:17:08,00:17:09,screen_0156.jpg
157,1029.028,1029.5285,00:17:09,00:17:09,screen_0157.jpg
158,1029.5285,1031.5304999999998,00:17:09,00:17:11,screen_0158.jpg
159,1031.5304999999998,1032.031,00:17:11,00:17:12,screen_0159.jpg
160,1032.031,1040.039,00:17:12,00:17:20,screen_0160.jpg
161,1040.039,1060.059,00:17:20,00:17:40,screen_0161.jpg
162,1060.059,1070.069,00:17:40,00:17:50,screen_0162.jpg
163,1070.069,1070.5694999999998,00:17:50,00:17:50,screen_0163.jpg
164,1070.5694999999998,1072.071,00:17:50,00:17:52,screen_0164.jpg
165,1072.071,1100.5995,00:17:52,00:18:20,screen_0165.jpg
166,1100.5995,1102.6015,00:18:20,00:18:22,screen_0166.jpg
167,1102.6015,1104.1029999999998,00:18:22,00:18:24,screen_0167.jpg
168,1104.1029999999998,1169.168,00:18:24,00:19:29,screen_0168.jpg
169,1169.168,1222.221,00:19:29,00:20:22,screen_0169.jpg
170,1222.221,1223.7225,00:20:22,00:20:23,screen_0170.jpg
171,1223.7225,1228.7275,00:20:23,00:20:28,screen_0171.jpg
172,1228.7275,1229.7285,00:20:28,00:20:29,screen_0172.jpg
173,1229.7285,1230.2289999999998,00:20:29,00:20:30,screen_0173.jpg
174,1230.2289999999998,1230.7295,00:20:30,00:20:30,screen_0174.jpg
175,1230.7295,1231.23,00:20:30,00:20:31,screen_0175.jpg
176,1231.23,1231.7305,00:20:31,00:20:31,screen_0176.jpg
177,1231.7305,1232.7315,00:20:31,00:20:32,screen_0177.jpg
178,1232.7315,1251.25,00:20:32,00:20:51,screen_0178.jpg
179,1251.25,1251.7505,00:20:51,00:20:51,screen_0179.jpg
180,1251.7505,1260.7595,00:20:51,00:21:00,screen_0180.jpg
